Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2022-08-12,21:00 (20:00),Osasuna,1.5,2–1,0.9,Sevilla,18536,Estadio El Sadar,Carlos del Cerro,Match Report,
1,Sat,2022-08-13,17:00 (16:00),Celta Vigo,0.4,2–2,1.1,Espanyol,13859,Estadio de Balaídos,Miguel Ángel Ortiz Arias,Match Report,
1,Sat,2022-08-13,19:00 (18:00),Valladolid,1.0,0–3,1.5,Villarreal,17543,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
1,Sat,2022-08-13,21:00 (20:00),Barcelona,1.9,0–0,0.5,Rayo Vallecano,81104,Camp Nou,Alejandro Hernández,Match Report,
1,Sun,2022-08-14,17:30 (16:30),Cádiz,0.2,0–1,1.5,Real Sociedad,16570,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,Match Report,
1,Sun,2022-08-14,19:30 (18:30),Valencia,1.6,1–0,0.1,Girona,39359,Estadio de Mestalla,Jorge Figueroa,Match Report,
1,Sun,2022-08-14,22:00 (21:00),Almería,0.7,1–2,2.1,Real Madrid,14386,Power Horse Stadium,Juan Martínez,Match Report,
1,Mon,2022-08-15,17:30 (16:30),Athletic Club,1.6,0–0,0.4,Mallorca,39747,San Mamés,Javier Villanueva,Match Report,
1,Mon,2022-08-15,19:30 (18:30),Getafe,0.7,0–3,1.2,Atlético Madrid,12235,Coliseum Alfonso Pérez,José Sánchez,Match Report,
1,Mon,2022-08-15,21:30 (20:30),Betis,3.1,3–0,0.4,Elche,50622,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
2,Fri,2022-08-19,20:00 (19:00),Espanyol,0.8,0–2,1.4,Rayo Vallecano,16071,RCDE Stadium,Jorge Figueroa,Match Report,
2,Fri,2022-08-19,22:00 (21:00),Sevilla,2.0,1–1,0.5,Valladolid,33991,Estadio Ramón Sánchez Pizjuán,Juan Pulido,Match Report,
2,Sat,2022-08-20,17:30 (16:30),Osasuna,2.7,2–0,1.0,Cádiz,18587,Estadio El Sadar,Antonio Matéu Lahoz,Match Report,
2,Sat,2022-08-20,19:30 (18:30),Mallorca,0.6,1–2,2.1,Betis,15579,Iberostar Estadi,Pablo González,Match Report,
2,Sat,2022-08-20,22:00 (21:00),Celta Vigo,1.4,1–4,3.7,Real Madrid,15681,Estadio de Balaídos,Jesús Gil,Match Report,
2,Sun,2022-08-21,17:30 (16:30),Athletic Club,1.0,1–0,0.7,Valencia,43333,San Mamés,César Soto,Match Report,
2,Sun,2022-08-21,19:30 (18:30),Atlético Madrid,1.6,0–2,1.8,Villarreal,57033,Estadio Cívitas Metropolitano,Ricardo de Burgos,Match Report,
2,Sun,2022-08-21,22:00 (21:00),Real Sociedad,0.8,1–4,2.1,Barcelona,36201,Reale Arena,José Luis Munuera,Match Report,
2,Mon,2022-08-22,20:00 (19:00),Elche,1.0,1–1,0.7,Almería,23361,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
2,Mon,2022-08-22,22:00 (21:00),Girona,1.1,3–1,0.6,Getafe,10460,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
,,,,,,,,,,,,,
3,Fri,2022-08-26,20:00 (19:00),Girona,1.0,0–1,1.0,Celta Vigo,11329,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
3,Fri,2022-08-26,22:00 (21:00),Betis,0.5,1–0,1.3,Osasuna,52580,Estadio Benito Villamarín,Juan Martínez,Match Report,
3,Sat,2022-08-27,17:30 (16:30),Elche,0.7,0–1,1.8,Real Sociedad,22656,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
3,Sat,2022-08-27,19:30 (18:30),Rayo Vallecano,0.7,0–2,0.8,Mallorca,10944,Estadio del Rayo Vallecano,José Sánchez,Match Report,
3,Sat,2022-08-27,22:00 (21:00),Almería,2.3,2–1,1.0,Sevilla,13788,Power Horse Stadium,Jesús Gil,Match Report,
3,Sun,2022-08-28,17:30 (16:30),Getafe,0.3,0–0,1.1,Villarreal,9815,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
3,Sun,2022-08-28,19:30 (18:30),Barcelona,2.6,4–0,0.8,Valladolid,83972,Camp Nou,Ricardo de Burgos,Match Report,
3,Sun,2022-08-28,22:00 (21:00),Espanyol,1.3,1–3,2.1,Real Madrid,25778,RCDE Stadium,Mario Melero,Match Report,
3,Mon,2022-08-29,20:00 (19:00),Cádiz,0.4,0–4,2.4,Athletic Club,17029,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,Match Report,
3,Mon,2022-08-29,22:00 (21:00),Valencia,0.5,0–1,1.5,Atlético Madrid,43910,Estadio de Mestalla,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,,
4,Fri,2022-09-02,21:00 (20:00),Celta Vigo,0.7,3–0,0.3,Cádiz,14510,Estadio de Balaídos,Juan Pulido,Match Report,
4,Sat,2022-09-03,14:00 (13:00),Mallorca,0.7,1–1,1.2,Girona,13390,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
4,Sat,2022-09-03,16:15 (15:15),Real Madrid,2.9,2–1,0.5,Betis,58579,Estadio Santiago Bernabéu,José Sánchez,Match Report,
4,Sat,2022-09-03,18:30 (17:30),Real Sociedad,1.5,1–1,1.4,Atlético Madrid,35366,Reale Arena,César Soto,Match Report,
4,Sat,2022-09-03,21:00 (20:00),Sevilla,1.0,0–3,4.0,Barcelona,40233,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
4,Sun,2022-09-04,14:00 (13:00),Osasuna,2.0,2–1,0.2,Rayo Vallecano,18745,Estadio El Sadar,Alejandro Muñíz,Match Report,
4,Sun,2022-09-04,16:15 (15:15),Athletic Club,1.2,0–1,0.6,Espanyol,41574,San Mamés,Juan Martínez,Match Report,
4,Sun,2022-09-04,18:30 (17:30),Villarreal,3.4,4–0,0.6,Elche,13915,Estadio Ciudad de Valencia,Miguel Ángel Ortiz Arias,Match Report,
4,Sun,2022-09-04,21:00 (20:00),Valencia,2.3,5–1,0.2,Getafe,38725,Estadio de Mestalla,José Luis Munuera,Match Report,
4,Mon,2022-09-05,21:00 (20:00),Valladolid,1.2,1–0,0.5,Almería,20260,Estadio Municipal José Zorrilla,Pablo González,Match Report,
,,,,,,,,,,,,,
5,Fri,2022-09-09,21:00 (20:00),Girona,1.7,2–1,0.6,Valladolid,10053,Estadi Municipal de Montilivi,César Soto,Match Report,
5,Sat,2022-09-10,14:00 (13:00),Rayo Vallecano,1.7,2–1,1.7,Valencia,12085,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
5,Sat,2022-09-10,16:15 (15:15),Espanyol,2.5,2–3,2.0,Sevilla,20135,RCDE Stadium,Guillermo Cuadra,Match Report,
5,Sat,2022-09-10,18:30 (17:30),Cádiz,0.4,0–4,3.4,Barcelona,19530,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
5,Sat,2022-09-10,21:00 (20:00),Atlético Madrid,0.7,4–1,1.7,Celta Vigo,52247,Estadio Cívitas Metropolitano,Alejandro Hernández,Match Report,
5,Sun,2022-09-11,14:00 (13:00),Real Madrid,2.3,4–1,0.5,Mallorca,54816,Estadio Santiago Bernabéu,Jorge Figueroa,Match Report,
5,Sun,2022-09-11,16:15 (15:15),Elche,0.9,1–4,2.7,Athletic Club,24176,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
5,Sun,2022-09-11,18:30 (17:30),Getafe,1.1,2–1,1.2,Real Sociedad,11112,Coliseum Alfonso Pérez,Juan Pulido,Match Report,
5,Sun,2022-09-11,21:00 (20:00),Betis,1.9,1–0,1.7,Villarreal,53276,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
5,Mon,2022-09-12,21:00 (20:00),Almería,0.2,0–1,2.0,Osasuna,12397,Power Horse Stadium,Javier Villanueva,Match Report,
,,,,,,,,,,,,,
6,Fri,2022-09-16,21:00 (20:00),Valladolid,1.5,0–1,0.3,Cádiz,20295,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
6,Sat,2022-09-17,14:00 (13:00),Mallorca,0.6,1–0,0.4,Almería,12687,Iberostar Estadi,Juan Martínez,Match Report,
6,Sat,2022-09-17,16:15 (15:15),Barcelona,3.9,3–0,0.0,Elche,85073,Camp Nou,Alejandro Muñíz,Match Report,
6,Sat,2022-09-17,18:30 (17:30),Valencia,1.7,3–0,0.5,Celta Vigo,40965,Estadio de Mestalla,Pablo González,Match Report,
6,Sat,2022-09-17,21:00 (20:00),Athletic Club,1.9,3–2,0.7,Rayo Vallecano,43484,San Mamés,Antonio Matéu Lahoz,Match Report,
6,Sun,2022-09-18,14:00 (13:00),Osasuna,0.5,0–2,0.8,Getafe,18255,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
6,Sun,2022-09-18,16:15 (15:15),Villarreal,1.5,1–1,0.6,Sevilla,18292,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
6,Sun,2022-09-18,18:30 (17:30),Betis,1.6,2–1,1.3,Girona,52229,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
6,Sun,2022-09-18,18:30 (17:30),Real Sociedad,1.9,2–1,0.8,Espanyol,31511,Reale Arena,Carlos del Cerro,Match Report,
6,Sun,2022-09-18,21:00 (20:00),Atlético Madrid,1.0,1–2,0.9,Real Madrid,66881,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-30,21:00 (20:00),Athletic Club,2.1,4–0,0.7,Almería,42110,San Mamés,Juan Pulido,Match Report,
7,Sat,2022-10-01,14:00 (13:00),Cádiz,0.7,0–0,1.6,Villarreal,15516,Estadio Nuevo Mirandilla,Javier Villanueva,Match Report,
7,Sat,2022-10-01,16:15 (15:15),Getafe,2.8,2–3,1.6,Valladolid,10958,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
7,Sat,2022-10-01,18:30 (17:30),Sevilla,0.5,0–2,2.2,Atlético Madrid,37754,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Match Report,
7,Sat,2022-10-01,21:00 (20:00),Mallorca,1.2,0–1,0.7,Barcelona,18103,Iberostar Estadi,Jesús Gil,Match Report,
7,Sun,2022-10-02,14:00 (13:00),Espanyol,0.8,2–2,1.1,Valencia,19766,RCDE Stadium,Valentín Pizarro,Match Report,
7,Sun,2022-10-02,16:15 (15:15),Celta Vigo,0.9,1–0,0.9,Betis,14344,Estadio de Balaídos,César Soto,Match Report,
7,Sun,2022-10-02,18:30 (17:30),Girona,1.0,3–5,2.1,Real Sociedad,12217,Estadi Municipal de Montilivi,Mario Melero,Match Report,
7,Sun,2022-10-02,21:00 (20:00),Real Madrid,2.5,1–1,0.5,Osasuna,55410,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
7,Mon,2022-10-03,21:00 (20:00),Rayo Vallecano,0.9,2–1,1.1,Elche,11662,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-10-07,21:00 (20:00),Osasuna,1.6,1–2,2.1,Valencia,20260,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
8,Sat,2022-10-08,14:00 (13:00),Almería,1.2,3–1,0.8,Rayo Vallecano,10783,Power Horse Stadium,Pablo González,Match Report,
8,Sat,2022-10-08,16:15 (15:15),Atlético Madrid,1.9,2–1,0.8,Girona,54069,Estadio Cívitas Metropolitano,Juan Martínez,Match Report,
8,Sat,2022-10-08,18:30 (17:30),Sevilla,1.0,1–1,1.7,Athletic Club,36502,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
8,Sat,2022-10-08,21:00 (20:00),Getafe,0.3,0–1,1.4,Real Madrid,14502,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
8,Sun,2022-10-09,14:00 (13:00),Valladolid,0.6,0–0,0.5,Betis,22561,Estadio Municipal José Zorrilla,Carlos del Cerro,Match Report,
8,Sun,2022-10-09,16:15 (15:15),Cádiz,1.3,2–2,1.3,Espanyol,16572,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
8,Sun,2022-10-09,18:30 (17:30),Real Sociedad,1.2,1–0,0.2,Villarreal,32689,Reale Arena,César Soto,Match Report,
8,Sun,2022-10-09,21:00 (20:00),Barcelona,2.0,1–0,1.5,Celta Vigo,81525,Camp Nou,José Luis Munuera,Match Report,
8,Mon,2022-10-10,21:00 (20:00),Elche,0.5,1–1,2.3,Mallorca,12000,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-10-14,21:00 (20:00),Rayo Vallecano,1.6,0–0,0.4,Getafe,13076,Estadio del Rayo Vallecano,Mario Melero,Match Report,
9,Sat,2022-10-15,14:00 (13:00),Girona,2.3,1–1,1.1,Cádiz,9927,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
9,Sat,2022-10-15,16:15 (15:15),Valencia,2.7,2–2,1.7,Elche,41805,Estadio de Mestalla,Juan Pulido,Match Report,
9,Sat,2022-10-15,18:30 (17:30),Mallorca,0.7,0–1,0.2,Sevilla,15300,Iberostar Estadi,Javier Villanueva,Match Report,
9,Sat,2022-10-15,21:00 (20:00),Athletic Club,1.2,0–1,0.3,Atlético Madrid,48391,San Mamés,Jorge Figueroa,Match Report,
9,Sun,2022-10-16,14:00 (13:00),Celta Vigo,0.5,1–2,0.8,Real Sociedad,13101,Estadio de Balaídos,Guillermo Cuadra,Match Report,
9,Sun,2022-10-16,16:15 (15:15),Real Madrid,1.1,3–1,2.0,Barcelona,62876,Estadio Santiago Bernabéu,José Sánchez,Match Report,
9,Sun,2022-10-16,18:30 (17:30),Espanyol,1.3,1–0,0.7,Valladolid,17770,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
9,Sun,2022-10-16,21:00 (20:00),Betis,2.5,3–1,0.8,Almería,46112,Estadio Benito Villamarín,Alejandro Muñíz,Match Report,
9,Mon,2022-10-17,21:00 (20:00),Villarreal,1.5,2–0,0.5,Osasuna,9699,Estadio Ciudad de Valencia,Pablo González,Match Report,
,,,,,,,,,,,,,
10,Tue,2022-10-18,19:00 (18:00),Sevilla,1.1,1–1,1.8,Valencia,37353,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
10,Tue,2022-10-18,20:00 (19:00),Getafe,0.8,2–2,1.0,Athletic Club,11395,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
10,Tue,2022-10-18,21:00 (20:00),Atlético Madrid,1.1,1–1,1.8,Rayo Vallecano,46803,Estadio Cívitas Metropolitano,Javier Villanueva,Match Report,
10,Wed,2022-10-19,19:00 (18:00),Cádiz,0.9,0–0,0.9,Betis,18505,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
10,Wed,2022-10-19,19:00 (18:00),Valladolid,1.5,4–1,2.6,Celta Vigo,16547,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
10,Wed,2022-10-19,20:00 (19:00),Real Sociedad,1.2,1–0,0.9,Mallorca,27085,Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
10,Wed,2022-10-19,21:00 (20:00),Elche,0.8,0–3,1.5,Real Madrid,30236,Estadio Manuel Martínez Valero,Jesús Gil,Match Report,
10,Thu,2022-10-20,19:00 (18:00),Almería,1.8,3–2,2.8,Girona,11194,Power Horse Stadium,Guillermo Cuadra,Match Report,
10,Thu,2022-10-20,20:00 (19:00),Osasuna,1.0,1–0,1.0,Espanyol,17832,Estadio El Sadar,Mario Melero,Match Report,
10,Thu,2022-10-20,21:00 (20:00),Barcelona,2.1,3–0,0.4,Villarreal,73261,Camp Nou,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
11,Sat,2022-10-22,14:00 (13:00),Rayo Vallecano,3.7,5–1,0.2,Cádiz,12975,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
11,Sat,2022-10-22,16:15 (15:15),Valladolid,0.8,1–0,0.9,Real Sociedad,21175,Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
11,Sat,2022-10-22,18:30 (17:30),Valencia,1.2,1–2,1.5,Mallorca,41199,Estadio de Mestalla,José Sánchez,Match Report,
11,Sat,2022-10-22,21:00 (20:00),Real Madrid,3.0,3–1,0.5,Sevilla,59625,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
11,Sun,2022-10-23,14:00 (13:00),Espanyol,2.2,2–2,0.5,Elche,17560,RCDE Stadium,José Luis Munuera,Match Report,
11,Sun,2022-10-23,16:15 (15:15),Betis,1.4,1–2,0.8,Atlético Madrid,50179,Estadio Benito Villamarín,Jesús Gil,Match Report,
11,Sun,2022-10-23,18:30 (17:30),Girona,0.4,1–1,0.6,Osasuna,10032,Estadi Municipal de Montilivi,Juan Pulido,Match Report,
11,Sun,2022-10-23,18:30 (17:30),Villarreal,1.0,2–1,1.0,Almería,13816,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
11,Sun,2022-10-23,21:00 (20:00),Barcelona,1.4,4–0,0.5,Athletic Club,84817,Camp Nou,Juan Martínez,Match Report,
11,Mon,2022-10-24,21:00 (20:00),Celta Vigo,0.7,1–1,0.2,Getafe,9774,Estadio de Balaídos,Pablo González,Match Report,
,,,,,,,,,,,,,
12,Fri,2022-10-28,21:00 (20:00),Mallorca,1.4,1–1,0.3,Espanyol,13982,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
12,Sat,2022-10-29,14:00 (13:00),Almería,2.3,3–1,0.3,Celta Vigo,11080,Power Horse Stadium,Carlos del Cerro,Match Report,
12,Sat,2022-10-29,16:15 (15:15),Cádiz,1.1,3–2,1.3,Atlético Madrid,18183,Estadio Nuevo Mirandilla,José Sánchez,Match Report,
12,Sat,2022-10-29,18:30 (17:30),Sevilla,1.2,0–1,0.7,Rayo Vallecano,36601,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
12,Sat,2022-10-29,21:00 (20:00),Valencia,0.2,0–1,1.6,Barcelona,46007,Estadio de Mestalla,Ricardo de Burgos,Match Report,
12,Sun,2022-10-30,14:00 (13:00),Osasuna,2.5,2–0,0.5,Valladolid,19429,Estadio El Sadar,Guillermo Cuadra,Match Report,
12,Sun,2022-10-30,16:15 (15:15),Real Madrid,2.9,1–1,1.4,Girona,58367,Estadio Santiago Bernabéu,Mario Melero,Match Report,
12,Sun,2022-10-30,18:30 (17:30),Athletic Club,1.7,1–0,0.3,Villarreal,46081,San Mamés,Miguel Ángel Ortiz Arias,Match Report,
12,Sun,2022-10-30,21:00 (20:00),Real Sociedad,0.9,0–2,1.3,Betis,32435,Reale Arena,Javier Villanueva,Match Report,
12,Mon,2022-10-31,21:00 (20:00),Elche,1.3,0–1,0.4,Getafe,19588,Estadio Manuel Martínez Valero,César Soto,Match Report,
,,,,,,,,,,,,,
13,Fri,2022-11-04,21:00 (20:00),Girona,1.0,2–1,0.7,Athletic Club,11420,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
13,Sat,2022-11-05,14:00 (13:00),Getafe,0.6,0–0,1.4,Cádiz,10554,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
13,Sat,2022-11-05,16:15 (15:15),Valladolid,1.9,2–1,0.2,Elche,20176,Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
13,Sat,2022-11-05,18:30 (17:30),Celta Vigo,0.7,1–2,0.4,Osasuna,14209,Estadio de Balaídos,Jorge Figueroa,Match Report,
13,Sat,2022-11-05,21:00 (20:00),Barcelona,4.0,2–0,0.5,Almería,92605,Camp Nou,Pablo González,Match Report,
13,Sun,2022-11-06,14:00 (13:00),Atlético Madrid,1.9,1–1,0.7,Espanyol,50007,Estadio Cívitas Metropolitano,Juan Pulido,Match Report,
13,Sun,2022-11-06,16:15 (15:15),Real Sociedad,1.1,1–1,0.9,Valencia,32773,Reale Arena,José Luis Munuera,Match Report,
13,Sun,2022-11-06,18:30 (17:30),Villarreal,0.5,0–2,0.4,Mallorca,16603,Estadio Ciudad de Valencia,Alejandro Muñíz,Match Report,
13,Sun,2022-11-06,21:00 (20:00),Betis,1.0,1–1,1.5,Sevilla,54034,Estadio Benito Villamarín,José Sánchez,Match Report,
13,Mon,2022-11-07,21:00 (20:00),Rayo Vallecano,1.5,3–2,2.4,Real Madrid,14216,Estadio del Rayo Vallecano,Juan Martínez,Match Report,
,,,,,,,,,,,,,
14,Tue,2022-11-08,19:00 (18:00),Elche,0.6,1–2,2.3,Girona,17339,Estadio Manuel Martínez Valero,Pablo González,Match Report,
14,Tue,2022-11-08,20:00 (19:00),Athletic Club,2.1,3–0,0.5,Valladolid,40072,San Mamés,Isidro Díaz de Mera,Match Report,
14,Tue,2022-11-08,21:30 (20:30),Osasuna,1.0,1–2,0.8,Barcelona,21603,Estadio El Sadar,Jesús Gil,Match Report,
14,Wed,2022-11-09,19:00 (18:00),Almería,0.5,1–0,0.4,Getafe,11454,Power Horse Stadium,Alejandro Muñíz,Match Report,
14,Wed,2022-11-09,19:00 (18:00),Sevilla,0.6,1–2,1.7,Real Sociedad,34814,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
14,Wed,2022-11-09,20:00 (19:00),Espanyol,1.1,0–1,0.7,Villarreal,17400,RCDE Stadium,Javier Villanueva,Match Report,
14,Wed,2022-11-09,21:30 (20:30),Mallorca,1.3,1–0,1.3,Atlético Madrid,14475,Iberostar Estadi,Mario Melero,Match Report,
14,Thu,2022-11-10,19:00 (18:00),Rayo Vallecano,0.4,0–0,0.9,Celta Vigo,12419,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
14,Thu,2022-11-10,20:00 (19:00),Valencia,2.0,3–0,0.2,Betis,39876,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
14,Thu,2022-11-10,21:30 (20:30),Real Madrid,2.0,2–1,0.9,Cádiz,53190,Estadio Santiago Bernabéu,César Soto,Match Report,
,,,,,,,,,,,,,
15,Thu,2022-12-29,17:00 (16:00),Girona,,,,Rayo Vallecano,,Estadi Municipal de Montilivi,,Head-to-Head,
15,Thu,2022-12-29,19:15 (18:15),Betis,,,,Athletic Club,,Estadio Benito Villamarín,,Head-to-Head,
15,Thu,2022-12-29,21:30 (20:30),Atlético Madrid,,,,Elche,,Estadio Cívitas Metropolitano,,Head-to-Head,
15,Fri,2022-12-30,17:00 (16:00),Getafe,,,,Mallorca,,Coliseum Alfonso Pérez,,Head-to-Head,
15,Fri,2022-12-30,19:15 (18:15),Cádiz,,,,Almería,,Estadio Nuevo Mirandilla,,Head-to-Head,
